7.6989,2.4859,-10.1849,698.8908,170.8933,-869.7983
7.4654,2.8087,-10.2742,679.8955,199.0106,-878.9282
7.2240,3.1293,-10.3534,660.1827,226.9721,-887.1882
6.9756,3.4467,-10.4223,639.7353,254.7904,-894.5717
6.7210,3.7599,-10.4810,618.6201,282.3962,-901.0732
6.4600,4.0692,-10.5293,596.9201,309.7038,-906.6868
6.1923,4.3749,-10.5673,574.6566,336.6887,-911.4072
5.9178,4.6770,-10.5948,551.7989,363.3787,-915.2308
5.6371,4.9748,-10.6119,528.3300,389.7892,-918.1560
5.3509,5.2675,-10.6185,504.2836,415.8838,-920.1823
5.0599,5.5547,-10.6147,479.7363,441.5803,-921.3084
4.7641,5.8361,-10.6003,454.7659,466.7920,-921.5314
4.4633,6.1121,-10.5756,429.3986,491.4851,-920.8487
4.1576,6.3826,-10.5404,403.5978,515.6935,-919.2597
3.8476,6.6470,-10.4948,377.3290,539.4541,-916.7655
3.5344,6.9043,-10.4389,350.6264,562.7368,-913.3680
3.2183,7.1542,-10.3727,323.5740,585.4632,-909.0687
2.8991,7.3970,-10.2963,296.2296,607.5820,-903.8688
2.5768,7.6327,-10.2097,268.5947,629.1010,-897.7713
2.2516,7.8612,-10.1130,240.6497,650.0510,-890.7831
1.9242,8.0820,-10.0064,212.4024,670.4362,-882.9146
1.5953,8.2946,-9.8899,183.9110,690.2083,-874.1779
1.2652,8.4984,-9.7636,155.2706,709.2792,-864.5837
0.9339,8.6938,-9.6278,126.5577,727.5772,-854.1420
0.6013,8.8811,-9.4824,97.7843,745.0961,-842.8634
0.2677,9.0600,-9.3277,68.9240,761.8708,-830.7599
-0.0660,9.2298,-9.1638,39.9857,777.9026,-817.8443
-0.3991,9.3900,-8.9909,11.0366,793.1354,-804.1283
-0.7314,9.5405,-8.8091,-17.8504,807.5082,-789.6217
-1.0631,9.6817,-8.6187,-46.6488,821.0075,-774.3339
-1.3941,9.8137,-8.4197,-75.3771,833.6668,-758.2758
-1.7239,9.9361,-8.2123,-104.0624,845.5305,-741.4621
-2.0519,10.0487,-7.9969,-132.6978,856.6101,-723.9108
-2.3775,10.1510,-7.7735,-161.2241,866.8642,-705.6400
-2.7005,10.2430,-7.5424,-189.5618,876.2305,-686.6672
-3.0212,10.3251,-7.3039,-217.6732,884.6881,-667.0108
-3.3396,10.3977,-7.0580,-245.5748,892.2719,-646.6910
-3.6550,10.4603,-6.8052,-273.2796,899.0156,-625.7298
-3.9665,10.5124,-6.5457,-300.7469,904.9003,-604.1486
-4.2739,10.5537,-6.2797,-327.9009,909.8725,-581.9679
-4.5769,10.5846,-6.0075,-354.6834,913.8953,-559.2065
-4.8758,10.6052,-5.7293,-381.0830,916.9784,-535.8842
-5.1702,10.6158,-5.4454,-407.1238,919.1680,-512.0228
-5.4596,10.6160,-5.1562,-432.8279,920.5098,-487.6470
-5.7434,10.6054,-4.8619,-458.1729,921.0050,-462.7825
-6.0209,10.5839,-4.5628,-483.0932,920.6113,-437.4557
-6.2925,10.5518,-4.2591,-507.5336,919.2975,-411.6935
-6.5583,10.5097,-3.9513,-531.4913,917.0868,-385.5250
-6.8180,10.4576,-3.6396,-554.9877,914.0290,-358.9803
-7.0709,10.3952,-3.3243,-578.0095,910.1419,-332.0897
-7.3165,10.3223,-3.0057,-600.4930,905.3944,-304.8819
-7.5546,10.2389,-2.6842,-622.3590,899.7388,-277.3839
-7.7853,10.1454,-2.3601,-643.5535,893.1510,-249.6213
-8.0085,10.0423,-2.0336,-664.0667,885.6509,-221.6204
-8.2242,9.9295,-1.7053,-683.9167,877.2863,-193.4085
-8.4316,9.8070,-1.3753,-703.1044,868.0868,-165.0133
-8.6301,9.6742,-1.0440,-721.5861,858.0342,-136.4626
-8.8197,9.5315,-0.7117,-739.3038,847.0938,-107.7838
-9.0006,9.3795,-0.3787,-756.2398,835.2708,-79.0051
-9.1730,9.2186,-0.0454,-772.4218,822.6177,-50.1556
-9.3365,9.0487,0.2879,-787.8763,809.1880,-21.2652
-9.4906,8.8697,0.6209,-802.5895,794.9967,7.6364
-9.6350,8.6817,0.9533,-816.5111,780.0226,36.5212
-9.7698,8.4850,1.2848,-829.5857,764.2385,65.3631
-9.8951,8.2800,1.6150,-841.7870,747.6463,94.1375
-10.0110,8.0673,1.9437,-853.1281,730.2880,122.8190
-10.1174,7.8469,2.2704,-863.6303,712.2138,151.3821
-10.2136,7.6186,2.5949,-873.2798,693.4370,179.8012
-10.2993,7.3823,2.9169,-882.0301,673.9351,208.0516
-10.3748,7.1386,3.2361,-889.8505,653.7001,236.1090
-10.4403,6.8881,3.5521,-896.7584,632.7726,263.9482
